<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.25,17:00:00,1.08938,1.09236,1.0891,1.09024,10929
2023.01.25,18:00:00,1.09021,1.09035,1.08742,1.09004,7503
2023.01.25,19:00:00,1.09006,1.09037,1.08942,1.08993,3259
2023.01.25,20:00:00,1.08993,1.09184,1.08993,1.09093,3605
2023.01.25,21:00:00,1.09093,1.09151,1.09069,1.09147,3376
2023.01.25,22:00:00,1.09147,1.09177,1.09065,1.09146,3269
2023.01.25,23:00:00,1.09142,1.09179,1.09114,1.09147,2126
2023.01.26,0:00:00,1.09152,1.09172,1.09092,1.09124,417
2023.01.26,1:00:00,1.09123,1.09227,1.09097,1.09207,1192
2023.01.26,2:00:00,1.09208,1.09246,1.09156,1.09156,1613
2023.01.26,3:00:00,1.09159,1.09209,1.09071,1.09192,2105
2023.01.26,4:00:00,1.0919,1.09217,1.09108,1.09153,1581
2023.01.26,5:00:00,1.09152,1.09176,1.09112,1.09131,1273
2023.01.26,6:00:00,1.09131,1.09183,1.09129,1.09146,1269
2023.01.26,7:00:00,1.09143,1.09189,1.09089,1.09188,1116
2023.01.26,8:00:00,1.09185,1.09294,1.09172,1.09204,2000
2023.01.26,9:00:00,1.09204,1.09228,1.09068,1.09195,5046
2023.01.26,10:00:00,1.0919,1.0928,1.09058,1.09091,5048
2023.01.26,11:00:00,1.09092,1.09101,1.08926,1.08957,4665
2023.01.26,12:00:00,1.08957,1.0908,1.08939,1.09068,3252
2023.01.26,13:00:00,1.09068,1.09078,1.08993,1.09031,2675
2023.01.26,14:00:00,1.09031,1.09044,1.08869,1.0893,3560
2023.01.26,15:00:00,1.08929,1.09085,1.08729,1.09027,9019
2023.01.26,16:00:00,1.09028,1.09177,1.08816,1.08868,9817
2023.01.26,17:00:00,1.08868,1.08949,1.08509,1.08552,10344
2023.01.26,18:00:00,1.08552,1.08719,1.08506,1.08647,6551
2023.01.26,19:00:00,1.08647,1.08699,1.08582,1.08647,3067
2023.01.26,20:00:00,1.08644,1.08883,1.08637,1.08863,2965
2023.01.26,21:00:00,1.08863,1.08903,1.08823,1.08893,1937
2023.01.26,22:00:00,1.08893,1.08926,1.08866,1.08922,2545
2023.01.26,23:00:00,1.08922,1.08946,1.08902,1.08917,1328
2023.01.27,0:00:00,1.08909,1.08909,1.08849,1.08894,280
2023.01.27,1:00:00,1.08894,1.08963,1.08857,1.08932,1608
2023.01.27,2:00:00,1.08933,1.09003,1.08932,1.08964,2164
2023.01.27,3:00:00,1.08961,1.08992,1.0886,1.08895,2001
2023.01.27,4:00:00,1.08894,1.089,1.08785,1.08794,1361
2023.01.27,5:00:00,1.08794,1.088,1.08706,1.08736,1508
2023.01.27,6:00:00,1.08736,1.08736,1.08659,1.08662,1547
2023.01.27,7:00:00,1.08662,1.0874,1.08657,1.08739,1193
2023.01.27,8:00:00,1.08738,1.08739,1.08661,1.08699,1847
2023.01.27,9:00:00,1.08697,1.08796,1.0868,1.08737,3179
2023.01.27,10:00:00,1.08737,1.08917,1.08658,1.08906,4421
2023.01.27,11:00:00,1.08906,1.08924,1.08776,1.08839,3892
2023.01.27,12:00:00,1.08839,1.08954,1.08828,1.08893,2675
2023.01.27,13:00:00,1.08893,1.08938,1.08756,1.08791,3373
2023.01.27,14:00:00,1.08791,1.08808,1.08663,1.08669,2953
2023.01.27,15:00:00,1.08668,1.08778,1.08594,1.08624,6563
2023.01.27,16:00:00,1.08624,1.08768,1.08452,1.08652,8615
2023.01.27,17:00:00,1.0865,1.08791,1.08378,1.08385,10142
2023.01.27,18:00:00,1.08385,1.08674,1.08381,1.08565,6812
2023.01.27,19:00:00,1.08565,1.08719,1.08527,1.08666,4092
